PARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
SPOILER POSITION NO. 3,,12,1,155,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,219,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,283,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,347,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,411,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,475,0,0,DEG,0 to 33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,32,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,96,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,160,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,224,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,288,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,352,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,416,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,480,0,0,DEG,0 TO -33,0.06875084,+/-30 MIN
RUD POS,S,12,1,37,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,101,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,165,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,229,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,293,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,357,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,421,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,485,0,0,DEG,+/-29,0.06519,+/-25MIN
BRAKE PRESS ALT-LT,S,12,3,122,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS ALT-LT,S,12,3,378,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS ALT-RT,S,12,3,250,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS ALT-RT,S,12,3,506,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-LT,S,12,3,58,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-LT,S,12,3,314,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-RT,S,12,3,186,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-RT,S,12,3,442,0,0,PSI,3300 TO -165,3.387096774,+/-1.25%
STBY HYD OIL PRESSURE,S,12,2,200,0,0,PSI,(-8185)-32589,19.9095,+/-1.84% Vratio
RUD PEDAL FORCE,S,12,1,40,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,104,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,168,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,232,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,296,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,360,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,424,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,488,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RESERVED ACVR #2,,12,1,456,2,0,,0,0,
