PARAMETER ASSIGNMENT,O-MSB,O-LSB,WORD,SUBF,SUPF,ONE LOGIC,ZERO LOGIC
LE FLAP 2 EXTEND,10,10,449,0,0,TRUE,FALSE
LE FLAP 2 INTRANSIT,9,9,449,0,0,TRUE,FALSE
LE SLAT 5 EXTEND,12,12,448,0,0,TRUE,FALSE
LE SLAT 5 FULL EXTEND,11,11,448,0,0,TRUE,FALSE
LE SLAT 5 INTRANSIT,10,10,448,0,0,TRUE,FALSE
LE SLAT 6 EXTEND,9,9,448,0,0,TRUE,FALSE
LE SLAT 6 FULL EXTEND,8,8,448,0,0,TRUE,FALSE
LE SLAT 6 INTRANSIT,7,7,448,0,0,TRUE,FALSE
LE SLAT 7 EXTEND,6,6,448,0,0,TRUE,FALSE
LE SLAT 7 FULL EXTEND,5,5,448,0,0,TRUE,FALSE
LE SLAT 7 INTRANSIT,4,4,448,0,0,TRUE,FALSE
LE SLAT 8 EXTEND,3,3,448,0,0,TRUE,FALSE
LE SLAT 8 FULL EXTEND,2,2,448,0,0,TRUE,FALSE
LE SLAT 8 INTRANSIT,1,1,448,0,0,TRUE,FALSE
LE FLAP 3 EXTEND,8,8,449,0,0,TRUE,FALSE
LE FLAP 3 INTRANSIT,7,7,449,0,0,TRUE,FALSE
LE FLAP 4 EXTEND,6,6,449,0,0,TRUE,FALSE
LE FLAP 4 INTRANSIT,5,5,449,0,0,TRUE,FALSE
LE MASTER EXTEND,4,4,449,0,0,TRUE,FALSE
LE MASTER INTRANSIT,3,3,449,0,0,TRUE,FALSE
LE UCM (UNCOMMANDED MOTION),1,1,451,0,0,WARNING,NORMAL
LRRA L RECEIVE ANTENNA,1,1,122,0,0,FAILURE,OK
LRRA L TRANSMIT ANTENNA,2,2,43,0,0,FAILURE,OK
LRRA LT FAILURE,1,1,43,0,0,FAILURE,OK
LRRA R RECEIVE ANTENNA,1,1,378,0,0,FAILURE,OK
LRRA R TRANSMIT ANTENNA,2,2,299,0,0,FAILURE,OK
LRRA RT FAILURE,1,1,299,0,0,FAILURE,OK
FCC FORCE XDCR SCALING - CW,2,2,58,1,0,208 LBS FS,NOT 208 LBS FS
FCC FORCE XDCR SCALING - CC (FOREIGN),1,1,114,1,0,208 LBS FS,NOT 208 LBS FS
FCC FORCE XDCR SCALING - CC (LOCAL),1,1,116,1,0,208 LBS FS,NOT 208 LBS FS
RUD LANE CMD MISTRK L,1,1,113,0,0,FAULT,NO FAULT
RUD AMP MONITOR L,2,2,251,0,0,AMP FAILED,AMP OKAY
LOCAL RUD ENGAGE L,1,1,103,0,0,ENGAGED,DISENGAGED
ENGAGE INTERFACE FAULT L,1,1,65,0,0,FAULT,NO FAULT
RUD POS FAULT,2,2,228,0,0,FAULT,NO FAULT
RUD POS FAULT,2,2,484,0,0,FAULT,NO FAULT
FCC IN CMD OF MACH TRIM - L,2,2,117,0,0,NOT SELECTED,SELECTED
MACH TRIM SERVO BRK STAT,2,2,496,1,0,BRAKE OFF,BRAKE ON
RUD LANE CMD MISTRK R,1,1,369,0,0,FAULT,NO FAULT
RUD AMP MONITOR R,2,2,507,0,0,AMP FAILED,AMP OKAY
LOCAL RUD ENGAGE R,1,1,359,0,0,ENGAGED,DISENGAGED
ENGAGE INTERFACE FAULT R,1,1,321,0,0,FAULT,NO FAULT
FCC IN CMD OF MACH TRIM - R,1,1,117,0,0,NOT SELECTED,SELECTED
MACH TRIM SERVO BRK STAT,1,1,496,1,0,BRAKE OFF,BRAKE ON
DME L ANTENNA FAILURE,2,2,171,0,0,FAILURE,OK
DME LT FAILURE,2,2,427,0,0,FAILURE,OK
AD/IR FAULT,1,1,56,0,0,NO ADC DATA,NORMAL
EXCESS MOTION ERROR,1,1,51,0,0,EXCESSIVE V,NORMAL
NO IR INITIALIZATION,1,1,409,0,0,REQ LAT/LON,NORMAL
ALIGN FAULT,2,2,250,0,0,FAIL ALIGN,NORMAL
DC FAIL/ON DC,2,2,307,0,0,DC FAIL,NORMAL
IR FAULT,1,1,49,0,0,NON CRIT FL,NORMAL
ADC FAULT,1,1,44,0,0,INVALID ADC,NORMAL
ON DC,2,2,409,0,0,ON DC PWR,ON AC PWR
DC FAIL,2,2,51,0,0,NO DC PWR,NORMAL
ATTITUDE INVALID,3,3,363,0,0,IR FAULT,NORMAL
SET HEADING,2,2,345,0,0,REQST HEAD,NORMAL
NAV MODE,1,1,345,0,0,NAV MODE,NORMAL
REV ATTITUDE MODE,2,2,69,2,0,REV MODE,NORMAL
ALIGN MODE/NOT READY,2,2,506,0,0,ALIGN MODE,NORMAL
AUTONAV REALIGN,3,3,284,0,0,CORR APPLY,NO CORR APP
IR A/C IDENT CODE INVALID,1,1,317,1,0,FAIL,PASS
GPIRU/IRU SELECT (RESERVED),4,4,284,0,0,GPS ACTIVE,GPS INACTIVE
APU LOW OIL QTY,1,1,317,3,0,TRUE,FALSE
BLEED VALVE OPEN,2,2,154,0,0,OPEN,NOT OPEN
APU ANY FAULT DETECTED,1,1,318,0,0,FAULT,NORMAL
APU ON,1,1,50,0,0,ON,OFF
BLEED AIR SWITCH,1,1,307,0,0,ON,OFF
READY TO LOAD,1,1,306,0,0,RTL,NOT RTL
GLIDESLOPE DEV-HUD,2,2,317,4,0,EXCEED,NOT EXCEED
LOCALIZER DEV-HUD,1,1,317,4,0,EXCEED,NOT EXCEED
CROSSTRACK RATE<9FT/SEC,12,12,189,2,0,EXCEED,NOT EXCEED
VERTICAL DEV-HUD,11,11,189,2,0,EXCEED,NOT EXCEED
ABSOLUTE AIRSPEED ERROR,10,10,189,2,0,EXCEED,NOT EXCEED
AVERAGE AIRSPEED ERROR,9,9,189,2,0,EXCEED,NOT EXCEED
CROSSTRACK RATE-LAT POS>0,8,8,189,2,0,EXCEED,NOT EXCEED
CROSSTRACK RATE-LAT POS<0,7,7,189,2,0,EXCEED,NOT EXCEED
CROSSTRACK RATE<8FT/SEC,6,6,189,2,0,EXCEED,NOT EXCEED
LAT POS<35FT,5,5,189,2,0,EXCEED,NOT EXCEED
LAT POS>35FT,4,4,189,2,0,EXCEED,NOT EXCEED
LAT POS<45/40FT,3,3,189,2,0,EXCEED,NOT EXCEED
LONG POS<2250FT,2,2,189,2,0,EXCEED,NOT EXCEED
VERTICAL SPEED DEV-HUD,2,2,249,2,0,EXCEED,NOT EXCEED
FLARE CMND NOT INITATED,1,1,189,4,0,SET,NOT SET
GUIDANCE CUE/FLT PATH DEV,1,1,189,2,0,EXCEED,NOT EXCEED
VERTICAL SPEED>-12FT/SEC,2,2,249,4,0,EXCEED,NOT EXCEED
ABS ROLL<6DEG,1,1,189,1,0,EXCEED,NOT EXCEED
HUD IN USE COMBINER POSN,1,1,54,0,0,HUD IN USE,STOWED
PRIMARY MODE,6,6,496,2,0,ACTIVE,NOT ACTIVE
HUD INST METEORO COND,1,1,188,1,0,ACTIVE,NOT ACTIVE
HUD VISUAL METEORO COND,1,1,188,3,0,ACTIVE,NOT ACTIVE
HUD AIII CAPABILITY,1,1,118,4,0,CAPABLE,NOT CAPABLE
HUD AIII MODE,1,1,119,4,0,ACTIVE,NOT ACTIVE
CLR (CLEAR) SUBMODE,2,2,189,1,0,ACTIVE,NOT ACTIVE
HUD APPROACH WARNING,2,2,188,1,0,SET,NOT SET
LOW-VISIBILITY TAKEOFF,3,3,381,4,0,SET,NOT SET
TOUCHDOWN,2,2,189,4,0,SET,NOT SET
ROLLOUT ARMED (RESERVED),2,2,94,2,0,SET,NOT SET
ROLLOUT ENGAGED (RESERVED),1,1,94,2,0,SET,NOT SET
ROLLOUT CAUTION (RESERVED),1,1,350,1,0,SET,NOT SET
HUD HGS BIT FAULT,3,3,107,0,0,SET,NOT SET
AUTOPILOT ENGAGED - HUD,5,5,496,2,0,SET,NOT SET
AT ENGAGED - HUD,4,4,496,2,0,SET,NOT SET
FLARE CMD ACTIVE - HUD,3,3,496,2,0,SET,NOT SET
SPARE - HUD 065 BIT 12,2,2,496,2,0,SET,NOT SET
SPARE - HUD 065 BIT 11,1,1,496,2,0,SET,NOT SET
EVENT MARKER (RESV),1,1,368,0,0,NO EVENT,EVENT
A/P WARN CAPT,12,12,222,0,0,NO WARN,WARN
A/P WARN CAPT,12,12,478,0,0,NO WARN,WARN
VHF LT KEYING,1,1,18,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,82,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,146,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,210,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,274,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,338,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,402,0,0,NOT KEYED,KEYED
VHF LT KEYING,1,1,466,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,18,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,82,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,146,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,210,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,274,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,338,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,402,0,0,NOT KEYED,KEYED
VHF RT KEYING,2,2,466,0,0,NOT KEYED,KEYED
VHF CENTER KEYING,1,1,16,0,0,NOT KEYED,KEYED
VHF CENTER KEYING,1,1,144,0,0,NOT KEYED,KEYED
VHF CENTER KEYING,1,1,272,0,0,NOT KEYED,KEYED
VHF CENTER KEYING,1,1,400,0,0,NOT KEYED,KEYED
MASTER CAUTION,1,1,231,0,0,NO WARN,WARN
MASTER CAUTION,1,1,487,0,0,NO WARN,WARN
HF-LT KEYING,1,1,19,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,83,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,147,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,211,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,275,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,339,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,403,0,0,NOT KEYED,KEYED
HF-LT KEYING,1,1,467,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,19,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,83,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,147,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,211,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,275,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,339,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,403,0,0,NOT KEYED,KEYED
HF-RT KEYING,2,2,467,0,0,NOT KEYED,KEYED
RT GEAR DOWN,1,1,77,0,0,UP,DN
RT GEAR DOWN,1,1,333,0,0,UP,DN
IRS SELECT SW - CAPT,2,2,178,0,0,R IRU,L IRU
LT MAIN GEAR AIR/GND,2,2,5,0,0,GROUND,AIR
LT MAIN GEAR AIR/GND,2,2,133,0,0,GROUND,AIR
LT MAIN GEAR AIR/GND,2,2,261,0,0,GROUND,AIR
LT MAIN GEAR AIR/GND,2,2,389,0,0,GROUND,AIR
RT MAIN GEAR AIR/GND,1,1,5,0,0,GROUND,AIR
RT MAIN GEAR AIR/GND,1,1,133,0,0,GROUND,AIR
RT MAIN GEAR AIR/GND,1,1,261,0,0,GROUND,AIR
RT MAIN GEAR AIR/GND,1,1,389,0,0,GROUND,AIR
AUTO BRAKE APPLIED,1,1,86,0,0,AUTO BRK,NO AUTO BRK
AUTO BRAKE APPLIED,1,1,214,0,0,AUTO BRK,NO AUTO BRK
AUTO BRAKE APPLIED,1,1,342,0,0,AUTO BRK,NO AUTO BRK
AUTO BRAKE APPLIED,1,1,470,0,0,AUTO BRK,NO AUTO BRK
GROUND SPOILER/SPD BRK,1,1,25,0,0,NOT UP,PANELS UP
GROUND SPOILER/SPD BRK,1,1,281,0,0,NOT UP,PANELS UP
FLT CONT A HYD LOW PRESS,1,1,180,0,0,LOW PRESS,NORMAL
FLT CONT A HYD LOW PRESS,1,1,436,0,0,LOW PRESS,NORMAL
FLT CONT B HYD LOW PRESS,2,2,180,0,0,LOW PRESS,NORMAL
FLT CONT B HYD LOW PRESS,2,2,436,0,0,LOW PRESS,NORMAL
LT GEAR DOWN,2,2,77,0,0,UP,DN
LT GEAR DOWN,2,2,333,0,0,UP,DN
NOSE GEAR DOWN,1,1,76,0,0,UP,DN
NOSE GEAR DOWN,1,1,332,0,0,UP,DN
TRIM UP MANUAL,2,2,137,0,0,TRIM,NO TRIM
TRIM UP MANUAL,2,2,393,0,0,TRIM,NO TRIM
28 VDC STDBY BUS SECT 2,1,1,406,0,0,ON,OFF
28 VDC BAT BUS SECT 2,2,2,406,0,0,ON,OFF
28 VDC BUS 2 SECT 3,1,1,89,0,0,ON,OFF
28 VDC BUS 1 SECT 2,2,2,89,0,0,ON,OFF
28 VDC HOT BAT BUS,1,1,90,0,0,ON,OFF
TRIM DOWN - A/P,1,1,39,0,0,TRIM,NO TRIM
TRIM DOWN - A/P,1,1,295,0,0,TRIM,NO TRIM
28 VDC SW HOT BAT BUS S 1,2,2,90,0,0,ON,OFF
WHEEL WELL FIRE,5,5,222,0,0,FIRE,NO FIRE
WHEEL WELL FIRE,5,5,478,0,0,FIRE,NO FIRE
MAIN DECK CARGO SMOKE,1,1,282,0,0,NO SMOKE,SMOKE
APU FIRE,6,6,222,0,0,FIRE,NO FIRE
APU FIRE,6,6,478,0,0,FIRE,NO FIRE
TRIM UP - A/P,1,1,167,0,0,TRIM,NO TRIM
TRIM UP - A/P,1,1,423,0,0,TRIM,NO TRIM
TRIM DOWN MANUAL,1,1,137,0,0,TRIM,NO TRIM
TRIM DOWN MANUAL,1,1,393,0,0,TRIM,NO TRIM
ENGINE 1 CUTOFF,1,1,301,0,0,CUTOFF,RUN
ENGINE 2 CUTOFF,2,2,301,0,0,CUTOFF,RUN
AIR/GROUND,2,2,7,0,0,AIR,GROUND
AIR/GROUND,2,2,135,0,0,AIR,GROUND
AIR/GROUND,2,2,263,0,0,AIR,GROUND
AIR/GROUND,2,2,391,0,0,AIR,GROUND
HYD SYS A ENG - 1,1,1,190,0,0,NORMAL,LO PRESS
HYD SYS B ENG - 2,1,1,191,0,0,NORMAL,LO PRESS
HYD SYS A ELEC,2,2,190,0,0,NORMAL,LO PRESS
HYD SYS B ELEC,2,2,191,0,0,NORMAL,LO PRESS
HYD SYS STBY,1,1,192,0,0,NORMAL,LO PRESS
RT GEAR RED WARN,3,3,222,0,0,NO WARN,WARN
RT GEAR RED WARN,3,3,478,0,0,NO WARN,WARN
NOSE GEAR RED WARN,2,2,222,0,0,NO WARN,WARN
NOSE GEAR RED WARN,2,2,478,0,0,NO WARN,WARN
AUTO SPD BRAKE EXTEND CMD,1,1,205,0,0,EXT,NOT EXT
SPEED BRAKE ARMED LIGHT,2,2,205,0,0,LIGHT NOT ON,LIGHT ON
SPD BRK DO NOT ARM LIGHT,1,1,204,0,0,LIGHT NOT ON,LIGHT ON
STBY RUD VALVE POS,2,2,99,0,0,OPEN,CL
STBY RUD VALVE POS,2,2,227,0,0,OPEN,CL
STBY RUD VALVE POS,2,2,355,0,0,OPEN,CL
STBY RUD VALVE POS,2,2,483,0,0,OPEN,CL
ROLL TRIM CMD R WING DOWN,1,1,22,0,0,TRIM,NO TRIM
ROLL TRIM CMD R WING DOWN,1,1,278,0,0,TRIM,NO TRIM
ROLL TRIM CMD L WING DOWN,2,2,22,0,0,TRIM,NO TRIM
ROLL TRIM CMD L WING DOWN,2,2,278,0,0,TRIM,NO TRIM
YAW TRIM CMD LT,2,2,100,0,0,NO TRIM (SWITCH-9 +),TRIM (SWITCH-9 +)
YAW TRIM CMD LT,2,2,356,0,0,NO TRIM (SWITCH-9 +),TRIM (SWITCH-9 +)
YAW TRIM CMD RT,1,1,100,0,0,NO TRIM (SWITCH-9 +),TRIM (SWITCH-9 +)
YAW TRIM CMD RT,1,1,356,0,0,NO TRIM (SWITCH-9 +),TRIM (SWITCH-9 +)
115 VAC STDBY BUS SECT 2,1,1,236,0,0,ON,OFF
115 VAC XFR BUS 2,1,1,108,0,0,ON,OFF
SMOKE AFT CARGO,1,1,156,0,0,NOT SMOKE,SMOKE
SMOKE FWD CARGO,1,1,412,0,0,NOT SMOKE,SMOKE
MAIN/ALT BRAKE SELECT,2,2,122,0,0,MAIN,ALTN
MAIN/ALT BRAKE SELECT,2,2,378,0,0,MAIN,ALTN
SAT COMM #1 KEYING,1,1,20,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,84,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,148,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,212,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,276,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,340,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,404,0,0,NOT KEYED,KEYED
SAT COMM #1 KEYING,1,1,468,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,20,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,84,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,148,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,212,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,276,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,340,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,404,0,0,NOT KEYED,KEYED
SAT COMM #2 KEYING,2,2,468,0,0,NOT KEYED,KEYED
A/T WARN F/O,9,9,222,0,0,NO WARN,WARN
A/T WARN F/O,9,9,478,0,0,NO WARN,WARN
A/T WARN CAPT,10,10,222,0,0,NO WARN,WARN
A/T WARN CAPT,10,10,478,0,0,NO WARN,WARN
NOSE GEAR AIR/GND,1,1,7,0,0,GROUND,AIR
NOSE GEAR AIR/GND,1,1,135,0,0,GROUND,AIR
NOSE GEAR AIR/GND,1,1,263,0,0,GROUND,AIR
NOSE GEAR AIR/GND,1,1,391,0,0,GROUND,AIR
ENG #2 FIRE,7,7,222,0,0,FIRE,NO FIRE
ENG #2 FIRE,7,7,478,0,0,FIRE,NO FIRE
ENG #1 FIRE,8,8,222,0,0,FIRE,NO FIRE
ENG #1 FIRE,8,8,478,0,0,FIRE,NO FIRE
LT GEAR RED WARN,4,4,222,0,0,NO WARN,WARN
LT GEAR RED WARN,4,4,478,0,0,NO WARN,WARN
CABIN ALTITUDE > 10kft,1,1,304,0,0,NO WARN,WARN
A/P WARN F/O,11,11,222,0,0,NO WARN,WARN
A/P WARN F/O,11,11,478,0,0,NO WARN,WARN
GEAR LEVER UP,2,2,59,0,0,NOT UP,GEAR UP
GEAR LEVER UP,2,2,315,0,0,NOT UP,GEAR UP
GEAR LEVER DOWN,2,2,25,0,0,NOT DOWN,GEAR DOWN
GEAR LEVER DOWN,2,2,281,0,0,NOT DOWN,GEAR DOWN
FMC SELECT SW - CAPT,1,1,178,0,0,L FMC,R FMC
LAVATORY SMOKE,1,1,222,0,0,NO SMOKE,SMOKE
LAVATORY SMOKE,1,1,478,0,0,NO SMOKE,SMOKE
CONFIG SHUNT DISCRETE #B115,1,1,435,3,0,CODED,CODEDT
